Registration No.,Registration Type,Supplier Name,Street Address,"Municipality, Province, State, Postal Code/Zip"
321070,Non-Gaming Exempt (NGE),Atlantic Superstore,6141 YOUNG  ST,HALIFAX NS B3K 2A5
321073,Non-Gaming Exempt (NGE),Balloon Boyz,8 GALAZY AV,DARTMOUTH NS B2Y 1Z6
321085,Non-Gaming Exempt (NGE),Kidney Foundation of Canada,710-1550 BEDFORD HY,BEDFORD NS B4A 1E6
321144,Non-Gaming Exempt (NGE),Tian Phat Asian Grocery,209 BEDFORD HWY.,HALIFAX NS B3M 2J9
321166,Non-Gaming Exempt (NGE),Dollarama L.P.,5805 ROYALMOUNT AV,MONTREAL PQ H4P 0A1
321261,Non-Gaming Exempt (NGE),Patrizia Trapasso,293 REGENT ST,NIAGARA-ON-THE-LAKE ON L0S 1J0
321276,Non-Gaming Exempt (NGE),Cornell Video Inspection & Pipe Lining Service,91 SPRINGFIELD LAKE RD,MIDDLE SACKVILLE NS B4E 3B1
321304,Non-Gaming Exempt (NGE),The Keyosk,1903 BARRINGTON  ST,HALIFAX NS B3J 3L7
321494,Non-Gaming Exempt (NGE),Parker Street Food & Furniture Bank,2415 MAYNARD ST,HALIFAX NS B3K 3V2
321501,Non-Gaming Exempt (NGE),Cathy Pierce (Vending Machines),PO BOX 149,PORTERS LAKE NS B3E 1M2
321502,Non-Gaming Exempt (NGE),Fiet Physiotherapy,2588 PRINCE ST,SYDNEY NS B1P 5K6
321515,Non-Gaming Exempt (NGE),Chairs Limited,10 ILSLEY AV UNIT 7-9,DARTMOUTH NS  B3B 1L3
321522,Non-Gaming Exempt (NGE),Filtration Plus,90 CUTLER AV 1,DARTMOUTH NS B3B 0J6
321536,Non-Gaming Exempt (NGE),Concept Plastics Inc,30 RADDAL AV UNIT 5,DARTMOUTH NS B3B 1L4
321587,Non-Gaming Exempt (NGE),Carleton Cards,5201 DUKE ST,HALIFAX NS B3J 1N9
321588,Non-Gaming Exempt (NGE),Les Clef's d'or Canada,C/O THE HAZELTON HOTEL,118 YORKVILLE AV
321672,Non-Gaming Exempt (NGE),George Patton Assoc INC,55 BROAD COMMON RD,BRISTOL RI 02809
321717,Non-Gaming Exempt (NGE),World Wide Furniture,60 HIGHFIELD PARK DR,DARTMOUTH NS B3A 4R9
321734,Non-Gaming Exempt (NGE),Brittany Oakley Performer (Brittany Oakley),46 EDGAR ST,SYDNEY NS B1P 3S8
321791,Non-Gaming Exempt (NGE),Golden Song Productions,,
321829,Non-Gaming Exempt (NGE),Triple B Recycling Depot Inc.,24 STORNWAY  ST,SYDNEY NS B1P 2P8
321893,Non-Gaming Exempt (NGE),LRS Paging Canada,4141 SLADEVIEW  CR UNIT 22,MISSISSAUGA ON L5L 5T1
322129,Non-Gaming Exempt (NGE),Corey Dickinson Design (Corey Dickinson),5 NIOMI ST,ROTHESAY NB E2S 1A4
322205,Non-Gaming Exempt (NGE),Olea Kiosk Inc.,13845 ARTESIA  BL,CERRIOTOS CA 90703
322231,Non-Gaming Exempt (NGE),Journeyman Films Co. (Nic Fieldsend),16 WENTWORTH  ST,DARTMOUTH NS B2Y 2S6
322232,Non-Gaming Exempt (NGE),Gerald Aucoin Band (Gerald Aucoin),6 REBECCA  ST,GLACE BAY NS B1A 2A9
322234,Non-Gaming Exempt (NGE),807600507 RR0001 (Deana Lloy),269 CHARLOTTE  ST,SYDNEY NS B1P 6G9
322236,Non-Gaming Exempt (NGE),Evanov Radio Group - Live 105 & 103.5 Hot Country (Trevor Romkey),5527 COGSWELL  ST,HALIFAX NS B3J 1R2
322238,Non-Gaming Exempt (NGE),Canadian Forces Halifax Personnel Support Program (Rob Sneath),CFB HALIFAX BUILDING PO BOX 99000 SUITE 2018,HALIFAX NS B3K 5X5
322299,Non-Gaming Exempt (NGE),Anita Helle Psychic Medium,316 CAMPBELLS RD,BALLS CREEK NS B2A 4L5
322303,Non-Gaming Exempt (NGE),PromoQuip Inc.,PO BOX 277,CEDAR SPRINGS MI 49319
322555,Non-Gaming Exempt (NGE),Roger Radio Halifax,6080 YOUNG  ST,HALIFAX NS B3K 5L2
322557,Non-Gaming Exempt (NGE),Dutch Brook Disposal,1846 GABARUS HIGHWAY,MARION BRIDGE NS B1L1E8
322561,Non-Gaming Exempt (NGE),Angela MacLellan Psychic Medium,134 WALLACE RD,GLACE BAY NS B1A 4N6
322661,Non-Gaming Exempt (NGE),NXsource/NCIX,13720 MAYFIELD PLACE,RICHMOND BC V6V 2E4
322666,Non-Gaming Exempt (NGE),Cedar Club,,
322819,Non-Gaming Exempt (NGE),Kenny's Pizza,89 TOWNSEND  ST,SYDNEY NS B1P 2P5
322821,Non-Gaming Exempt (NGE),"SPCA, Nova Scotia",7 SCARFE CT,DARTMOUTH NS
322824,Non-Gaming Exempt (NGE),Marcaria.com LLC,501 SILVERSIDE RD SUITE 105,WILMINGTON DE 19809
323142,Non-Gaming Exempt (NGE),Stephanie Currie (Stephanie Currie),3164 SUNSET AV,NEW WATERFORD NS B1H 1H9
323143,Non-Gaming Exempt (NGE),Keith Burchell (Keith  Burchell),1363 MIRA RD,NS B1P 1N8
323145,Non-Gaming Exempt (NGE),Crane Supply,58 WRIGHT AV,DARTMOUTH NS B3B 1H3
323154,Non-Gaming Exempt (NGE),Wendy MacIsaac Performer (Wendy  MacIsaac),2820 DOUG SMITH DR,HALIFAX NS B3L 3T5
323156,Non-Gaming Exempt (NGE),Laura Roy Performer,59 WHISTLE  ST,TORONTO ON M4E 3W7
323157,Non-Gaming Exempt (NGE),Ian Janes Performer,19 RICHARDS  DR,DARTMOUTH NS B3A 2P1
323326,Non-Gaming Exempt (NGE),John Dunsworth Productions,206 DUFFERIN ST UNIT B,TORONTO ON M6K 3J1
323426,Non-Gaming Exempt (NGE),Niagara River Trading Company,6199 DON MURIE ST,NIAGARA FALLS ON L2G 0B1
323558,Non-Gaming Exempt (NGE),Amazon.ca,6363 MILL CREEK DR,MISSISSAUGA ON L5N 1L8
323578,Non-Gaming Exempt (NGE),Cummins Eastern Canda Lp (Bob Aucioin),50 SIMMONDS  DR,DARTMOUTH NS B3B 1R3
323580,Non-Gaming Exempt (NGE),Anita Parsons Entertainer (Anita  Parsons),20 REIDVILLE ST,GLACE BAY NS B1A 5J5
323584,Non-Gaming Exempt (NGE),D.R. Myers Distributing Company Inc.,1492 ODDSTRAT DR,REDWOOD CITY CA 94063
323586,Non-Gaming Exempt (NGE),Geek (Wish.com) support@wish.com,,
323587,Non-Gaming Exempt (NGE),BERRN Consulting Ltd.,,
323594,Non-Gaming Exempt (NGE),Corey Katz Photography,37 NEPEAN ST,SYDNEY NS B1P 6A1
323652,Non-Gaming Exempt (NGE),FedEx,5985 EXPLORER DR,MISSISSAUGA ON L4W 5K6
323655,Non-Gaming Exempt (NGE),Charity registration#890415821rr001,401 EAST BROADWAY,SYDNEY NS B1N 3K1
323748,Non-Gaming Exempt (NGE),Joe George Food Service Consultants,8831 RIVER RD,RICHMOND BC V6X 1Y6
323911,Non-Gaming Exempt (NGE),Crisis Prevention Institute,10850 W PARK PLACE ST SUITE 600,MILWAUKEE WI 94063
324119,Non-Gaming Exempt (NGE),F.C. O'Neil Scriven and Associates Ltd.,8831 RIVER RD,RICHMOND BC V6X 1Y6
324134,Non-Gaming Exempt (NGE),Fred Lavery Performer (Fred Lavery),814 POINT ACONI  RD,CAPE BRETON NS B1V 1Z7
324143,Non-Gaming Exempt (NGE),Port Cities Music Inc. (Wayne O'Connor),PO BOX 25072,HALIFAX NS B3M 4H4
324148,Non-Gaming Exempt (NGE),Kim Dunn Performer,60 BOUTILIERS POINT  RD,BOUTILIERS POINT NS B3Z 1R5
324158,Non-Gaming Exempt (NGE),Jessica Rhaye Music,PO BOX 6981  STATION A,ST. JOHN NB E2L 4S4
324219,Non-Gaming Exempt (NGE),Aaron Lahey Performer (Aaron Lahey),3 CADEGAN DR,GLACE BAY NS B1A 5W3
324221,Non-Gaming Exempt (NGE),Yuge Design Corp.,8831 RIVER  RD,RICHMOND BC V6X 1Y6
324223,Non-Gaming Exempt (NGE),Wonderful Union Canada Ltd.,171 EAST LIBERTY  ST,TORONTO ON M6K 3P6
324226,Non-Gaming Exempt (NGE),Bette MacDonald (Bette MacDonald),24 ROCKWOOD  DR,HALIFAX NS B3N 1X5
324227,Non-Gaming Exempt (NGE),Maynard Morrison,24 ROCKWOOD DR,HALIFAX NS B3N 1X5
324228,Non-Gaming Exempt (NGE),Ryan Baker Performer (Ryan  Baker),20 DUNROBIN ST,DARTMOUTH NS A1N 0E4
324385,Non-Gaming Exempt (NGE),Ken Tobias Performer (Ken Tobias),27 BRAEMAR DR,SAINT JOHN NB E2J 2T5
324387,Non-Gaming Exempt (NGE),Connors Diving Services (Neil Connors),2 LAKESIDE PARK DR,LAKESIDE NS B3J 1L7
324391,Non-Gaming Exempt (NGE),Home Free Music LLC (Tom Kemp),1505 WEST 2ND  AV UNIT 200,VANCOUVER BC V5H 4V5
324396,Non-Gaming Exempt (NGE),Russell Bowers,1724 WESTMOUNT BL NW,CALGARY AB T2N 3G7
324939,Non-Gaming Exempt (NGE),Prime Cables Inc.,2210 52ND  AV,LACHINE PQ H8T 2Y3
324948,Non-Gaming Exempt (NGE),Duggan Electric Limited,192 JOSEPH ZATZMAN DR. UNIT 12,"DARTMOUTH, NS  B3V 1N4"
324950,Non-Gaming Exempt (NGE),Richard Schaller Entertainment (Richard Schaller),69 TAIN  ST,SYDNEY NS B1P 1Y5
325176,Non-Gaming Exempt (NGE),Neptune Theatre Foundation,1593 ARGYLE ST,HALIFAX NS  B3J 2B2
325177,Non-Gaming Exempt (NGE),Caster Rack Systems Ltd. (Tony Matthews),61 RADDALL AV,DARTMOUTH NS B3B 1T4
325354,Non-Gaming Exempt (NGE),Gillian Head Entertainer (Gillian Head),29 HILLVIEW  DR,RIVER RYAN NS B1H 5R3
325561,Non-Gaming Exempt (NGE),Sustainable Interaction Sweden AB,1 WINSTRUPSGATAN,LUND SWEDEN 22222
325607,Non-Gaming Exempt (NGE),MacArthur School of Dance,251 KINGS RD,SYDNEY NS B1S 1A7
325610,Non-Gaming Exempt (NGE),Justram Technologies Ltd.,22 TRIDER CR,DARTMOUTH NS B3B 1R6
325684,Non-Gaming Exempt (NGE),Creative Engineering Solutions Inc.,5851 WOODBINE  AV,HALIFAX NS B3K 2S7
326584,Non-Gaming Exempt (NGE),Judith MacLellan Performer,6-134 MAYPOINT RD,CHARLOTTETOWN PE CE1 1X3
326586,Non-Gaming Exempt (NGE),Martin Maunder Adio Technician,35 WOODLAWN RD,DARTMOUTH NS B3A 3J6
326587,Non-Gaming Exempt (NGE),Avon Security Products,14-60 RAVETTE RD,CONCORD ON
326589,Non-Gaming Exempt (NGE),Andre Labbee Inc. (Dave Dawson),PO  BOX 7336,RIVERVIEW NB E1B 4T9
326591,Non-Gaming Exempt (NGE),Ace Upholstery Limited,868 PROSPECT ROAD,"HALIFAX, NS  B3T 1P4"
326596,Non-Gaming Exempt (NGE),Two Rivers Wildlife Park,4581 GRANK MIRA NORTH,HUNTINGTON NS B1K 3T8
326600,Non-Gaming Exempt (NGE),Colin Grant Cruise Ship Entertainment (Colin Grant),182 HIGH ST,SYDNEY NS B1P 2K4
326601,Non-Gaming Exempt (NGE),Trimar Promotional Products (Donica McGougan),10 AKERLEY BL,DARTMOUTH NS B3B 1J4
326826,Non-Gaming Exempt (NGE),Pineapple Bytes (Marvin Hayes),7 MELLOR  AV,DARTMOUTH NS B3B 0E8
326833,Non-Gaming Exempt (NGE),Uniforme 2000 (Domenica Scicchitano),8965 HENRI BOURASSA WEST,MONTREAL NS 514 903-9808
326835,Non-Gaming Exempt (NGE),Mary Beth Carty Entertainment (Mary Beth Carty),112 CASTLEY  DR,SYDNEY NS B1S 2A4
326888,Non-Gaming Exempt (NGE),Ray Hartlin Painting and Decorating Limited (Mark Hartlin),2436 OLD SAMBRO  RD,HALIFAX NS B3V 1C9
327026,Non-Gaming Exempt (NGE),Maritime Drywall & Acoustical Limited,36 KELDONAN WAY,FALL RIVER NS B2T 0B9
327029,Non-Gaming Exempt (NGE),World Chinese Business Association (Eric Yeung),PO BOX 306,LOWER SACKVILLE NS B4C 2T2
327030,Non-Gaming Exempt (NGE),A.W. Cleaning Services,46 FIELDING  AV,DARTMOUTH NS B3B 1E4
327033,Non-Gaming Exempt (NGE),JED Sheet Metal,20 JOHN MURRY  DR,ENFIELD NS B2T 1C5
327034,Non-Gaming Exempt (NGE),HPH Mechanical Ltd.,108 WYNDHAM DR,UPPER TANTALLON NS B3Z 0K5
327065,Non-Gaming Exempt (NGE),Ryan ULC,6775 FINANCIAL  DR SUITE 102,MISSISSAUGA ON L5N 0A4
327304,Non-Gaming Exempt (NGE),Cintas Canada Limited,1470 Nobel Boulevard,"Boucherville,  Quebec"
327395,Non-Gaming Exempt (NGE),Halifax Glass & Mirror Limited,117 CUTLER AV,DARTMOUTH NS B3B 0J5
327639,Non-Gaming Exempt (NGE),Living Stone (Angela Abou-Hamad),413 HIGHWAY 329 RR#2 .,HUBBARDS NS B0J 1T0
327651,Non-Gaming Exempt (NGE),Nova Scotia Health  (Karrah Boutilier),171 DOMINION  ST,GLACE BAY NS B1A 3N2
327677,Non-Gaming Exempt (NGE),Howie MacDonald Entertainer (Howie MacDonald),131 GLENCAIRN AV,SYDNEY NS B1R 1C6
327889,Non-Gaming Exempt (NGE),Mill-right Woodworking INC,,
328278,Non-Gaming Exempt (NGE),Bradley Murphy Entertainer (Bradley Murphy),185 PARK  ST,SYDNEY NS B1P 4W7
328279,Non-Gaming Exempt (NGE),Tip Top Tailors,21 MIC MAC  BL,DARTMOUTH NS B3A 4N3
328331,Non-Gaming Exempt (NGE),Life Safety Systems ( a division of Atlantica Mechanical cortractors Inc.),9 RALSTON  AV,DARTMOUTH NS B3B 1H5
328336,Non-Gaming Exempt (NGE),Anita MacDonald Entertainer,88 LITTLE NARROWS RD,LITTLE NARROWS NS B0E 1T0
328687,Non-Gaming Exempt (NGE),Red Label Kilts,16 WOODILL ST,SYDNEY NS B1P 4N7
329148,Non-Gaming Exempt (NGE),Karyn's Cookies and Treats,268 PORTLAND  ST,DARTMOUTH NS B2Y 1L9
329388,Non-Gaming Exempt (NGE),Workplace essentials,128 ROSEDALE AV,HALIFAX NS B3N 2J8
329408,Non-Gaming Exempt (NGE),Thane Dunn Entertainment,115 PROM,KEDGWICK NB E1A 3X2
329422,Non-Gaming Exempt (NGE),KBI Door Services Ltd,78 TRIDER CR,DARTMOUTH NS B3B 1R6
329423,Non-Gaming Exempt (NGE),Karyn's Cookies& Treats,268 PORTLAND  ST,DARTMOUTH NS B2Y 1J9
329426,Non-Gaming Exempt (NGE),Johnston Equipment,15 GARLAND  AV,DARTMOUTH NS B3B 0A6
329583,Non-Gaming Exempt (NGE),"Veritiv Canada, Inc. (Unisource Canada Inc.)",6185 MCLAUGHLIN ROAD,"MISSISSAUGA, ONTARIO  L5R 3W7"
329619,Non-Gaming Exempt (NGE),Wickwire-Holm,1801 HOLLIS ST,HALIFAX NS
329620,Non-Gaming Exempt (NGE),Mattatall Signs Ltd.,80 ILSLEY AVENUE,DARTMOUTH   B3B 1L3  B3B 1L3
329626,Non-Gaming Exempt (NGE),Magnanimous People Strategies Inc.,19 HURSHMAN DR SUITE 201,UPPER TANTALON NS B3Z 1L3
329633,Non-Gaming Exempt (NGE),Nicole Ferrar - Show Girl Events,194 LISGARD  ST,SYDNEY NS B1P 2Y6
329670,Non-Gaming Exempt (NGE),11756656 Canada Inc.,21 RADDALL  AV,DARTMOUTH NS B3B 1L4
329675,Non-Gaming Exempt (NGE),Louisbourg Seafood,3 COMMERCIAL ST,LOUISBOURG NS B1C 1B5
329682,Non-Gaming Exempt (NGE),88657 7857 RR0001,46 SCHOOL ST,GLACE BAY NS B1A 1J2
329686,Non-Gaming Exempt (NGE),Eyecandy Signs Inc.,2705 AGRICOLA  ST,HALIFAX NS B3K 4C7
329895,Non-Gaming Exempt (NGE),Meyer Housewares Canada Inc.,489 BRACKELY POINT  RD,WINSTOE PE C1E 1Z3
329966,Non-Gaming Exempt (NGE),McLeans Flooring,2449 E RIVER EAST SIDE RD,SPRINGVILLE NS B0K 1B0
330159,Non-Gaming Exempt (NGE),CTV/Bell Media,1283 GEORGE  ST,SYDNEY NS B1P 1N7
330199,Non-Gaming Exempt (NGE),East Coast Motorsport,485 HIGHWAY 2 UNIT 4,ENFIELD NS B2T 1M4
330212,Non-Gaming Exempt (NGE),Cafe Productions (Amy Sky),9336 CIVIC CENTRE DR,LOS ANGELES CA 902010
330221,Non-Gaming Exempt (NGE),Old Farm Pony Inc.,PO BOX 36054,HALIFAX NS B3J 3S9
330288,Non-Gaming Exempt (NGE),WSP Canada Groupo LTD,7088 MONT ST 414,VANCOUVER BC V5S 4X7
330314,Non-Gaming Exempt (NGE),Tannex,333 VAUGHAN VALLEY BL,WOODBRIDGE ON L4H 3B5
330462,Non-Gaming Exempt (NGE),Armitage Hardware (Ernie Armitage),5655 STANLEY  ST,HALIFAX NS B3K 2E9
330483,Non-Gaming Exempt (NGE),Beauty and Brows by Toula,980 GRAND LAKE RD,SYDNEY NS B1M 1A7
330652,Non-Gaming Exempt (NGE),Markie Tours (Ward Markie),10 GLOOSCAP  DR,MILLBROOK NS B6L 1G5
330653,Non-Gaming Exempt (NGE),Risers Tours (Barbara Risser),PO BOX 542,LUNENBURG NS B0J 2C0
330656,Non-Gaming Exempt (NGE),Betty Cooke Bus Tours (Betty Cooke),"SITE 7 BOX 1, RR#1, 39 HILLSIDE RD",TRENTON ON B0K 1X0
330657,Non-Gaming Exempt (NGE),PT Tours Inc. (Phyllis LeBlanc),169 BEAUMONT RD,MEMRAMCOOK NB E4K 2B3
331157,Non-Gaming Exempt (NGE),BMR Structural Engineering,5413 DOYLE ST,HALIFAX NS B3J 1H9
331475,Non-Gaming Exempt (NGE),Tourism Association of Nova Scotia (TIANS) (Jane Rozee),C/O TOURISM ASSOCIATION OF NOVA SCOTIA (TIANS),DARTMOUTH NS
331477,Non-Gaming Exempt (NGE),Econo Colour (John Abass),5201 DUKE  ST,HALIFAX NS B3J 1N9
331479,Non-Gaming Exempt (NGE),Atlantic Venetian Blinds and Draperies Ltd. (Roger Surette),105 JOSEPH ZATXMAN  DR,DARTMOUTH NS B3B 1N5
331481,Non-Gaming Exempt (NGE),,393 HERRING COVE  RD,HALIFAX NS B3R 1W3
331665,Non-Gaming Exempt (NGE),Industrial Wide Courier,975 MAIN ST,GLACE BAY NS B1A 4Z6
331679,Non-Gaming Exempt (NGE),Brookfield Baskets and Decor,108 HARBOURVIEW DR,SYDNEY NS B1S 2A9
331696,Non-Gaming Exempt (NGE),Traincan,85 SCARSDALE RD SUITE 101,TORONTO ON M3B 2R2
332011,Non-Gaming Exempt (NGE),Amadeus Hospitality -Newmarket International Inc. (Jessie Haynes),75 HAMPSHIRE AV,PORTSMITH NH 03801
332014,Non-Gaming Exempt (NGE),Davies Enterprises Ltd.,114 CHAIN LAKE DRIVE,"HALIFAX, N.S.  B3S 1B1"
332016,Non-Gaming Exempt (NGE),Advantel Products Inc. (Brian Pestill),2 BLUEWATER RD,BEDFORD NS B4B 1G7
332022,Non-Gaming Exempt (NGE),Eastlink and Eastlink Cable Systems (Sheri Dietrich),PO BOX 8660 STN. A,HALIFAX NS B3K 5M3
332024,Non-Gaming Exempt (NGE),CIBC (Jacqueline Kung),400 BURRARD ST FLOOR 7,VANCOUVER BC V6C 3A6
332026,Non-Gaming Exempt (NGE),Baton Rouge (Donna Orr),1877 HOLLIS ST,HALIFAX NS B3J 1W5
332120,Non-Gaming Exempt (NGE),TAB Products (Jim Sweeny),28 SWANTON DR,DARTMOUTH NS B2W 2C4
332121,Non-Gaming Exempt (NGE),Greek Festival (Yanna Theoharapoulos),98 BEDFORD HY,HALIFAX NS B3M 2J4
332124,Non-Gaming Exempt (NGE),Simple Touch (Susan Carrigan),91 TACOMA  DR,DARTMOUTH NS B3J 3Y5
332130,Non-Gaming Exempt (NGE),Timothy Richard Photography (Timothy Richard),PO BOX 33068 /RPO QUINPOOL CENTRE,HALIFAX NS B3L 4T6
332131,Non-Gaming Exempt (NGE),Service Nova Scotia-Alcohol Gaming Firearms and Tobacco Division Vendor #52881 (,PO BOX 545,780 WINDMILL RD FLOOR 2
332132,Non-Gaming Exempt (NGE),Province of Nova Scotia,780 WINDMILL  RD,DARTMOUTH NS B2Y 3Y8
332134,Non-Gaming Exempt (NGE),Scotia Recycling Limited (Darren Weiner),BURNSIDE INDUSTRIAL PARK,BROWN AV
332142,Non-Gaming Exempt (NGE),Drivers Licence Guide Company (Linda Arata),1492 ODDSTAD DR,REDWOOD CITY CA 94063
332143,Non-Gaming Exempt (NGE),DKC Digi-Key Electronics,701 BROOKS AV S,THIEF RIVER FALLS MN 56701-0677
332144,Non-Gaming Exempt (NGE),Millennium Water Management (Bernie Zwicker),65 COVERTY LN,DARTMOUTH NS B2V 2J5
332145,Non-Gaming Exempt (NGE),Terry Berry Company (Michelle Prickett),2033 OAK INDUSTRIAL  DR NE,GRAND RAPIDS MI 49505
332146,Non-Gaming Exempt (NGE),Shoppers Drug Mart (John Snow),254 PRINCE ST SUITE A015,SYDNEY NS B1P 5K6
332148,Non-Gaming Exempt (NGE),Farnell Packaging Limited (Donald Farnell),30 ILSLEY AV,DARTMOUTH NS B3B 1L3
332149,Non-Gaming Exempt (NGE),Colbourne's Trophies and Gifts (Vince Colbourne),290 GRAY ST,SYDNEY NS B1P 4L5
332151,Non-Gaming Exempt (NGE),Bell Mobility,741 BEDFORD HWY.,BEDFORD NS B3M 2M1
332152,Non-Gaming Exempt (NGE),Lawtons Drug Store,5201 DUKE ST,HALIFAX NS B3J 1N9
332158,Non-Gaming Exempt (NGE),M & B Wholesale Ltd.,1293 MAIN STREET,"GLACE BAY, N.S.  B1A 5A5"
332159,Non-Gaming Exempt (NGE),TRA Cash & Carry,BRIAN MORRISON,265 WELTON ST
332160,Non-Gaming Exempt (NGE),CPHR Nova Scotia,94 CHAIN LAKE  DR SUITE 103,HALIFAX NS
332162,Non-Gaming Exempt (NGE),Savoy Theatre,PAM LEADER,116 COMMERCIAL ST
332196,Non-Gaming Exempt (NGE),Partnership for Access Awareness Nova Scotia (PAANS),B0X 38034 STN BURNISIDE,DARTMOUTH NS B3B 1X2
332197,Non-Gaming Exempt (NGE),AMO Advanced Mobility,401 EAST BROADWAY,SYDNEY NS B1N 3K1
332198,Non-Gaming Exempt (NGE),Safety Services,201 BROWNLOW AV UNIT 1,DARTMOUTH NS B3B 1W2
332199,Non-Gaming Exempt (NGE),Russ Vining Mechanical Ltd.,6189 YOUNG  ST BAY 01,HALIFAX NS 9028761287
332204,Non-Gaming Exempt (NGE),The Bargain Shop,3505 PLUMMER AV,NEW WATERFORD NS B1H 1Z8
332206,Non-Gaming Exempt (NGE),Olympic Shoe Repair,420 PRINCE ST,SYDNEY NS B1P 5K9
332218,Non-Gaming Exempt (NGE),Wilson's Home Hardware,467 PRINCE ST,SYDNEY NS B1P 5L6
332220,Non-Gaming Exempt (NGE),Pharmasave,351 CHARLOTTE  ST,SYDNEY NS B1P 1E1
332221,Non-Gaming Exempt (NGE),Party City,49 COUNTRYVIEW DR,DARTMOUTH NS B3B 0G4
332222,Non-Gaming Exempt (NGE),Premium Sports,650 COLUMBIA ST,NEW WESTMINISTER BC V3M 1A9
332224,Non-Gaming Exempt (NGE),MacKillop's Flowers,1030 KINGS RD,SYDNEY NS B1S 1C7
332371,Non-Gaming Exempt (NGE),Holiday Inn Sydney Waterfront,300 ESPLANADE,SYDNEY NS B1P 1A7
332372,Non-Gaming Exempt (NGE),Jason Kempt,366 CABOT ST,SYDNEY NS B1P 4G2
332373,Non-Gaming Exempt (NGE),Canadian Springs (Aquaterra Corp),BOXC 414  STN. A,TORONTO ON M5W 4L7
332375,Non-Gaming Exempt (NGE),Bounty Print,6359 BAYNE ST,HALIFAX NS B3K 2V6
332376,Non-Gaming Exempt (NGE),Ambassatours Gray Line,6575 BAYNE ST,HALIFAX NS B3K 2V6
332379,Non-Gaming Exempt (NGE),Halifax Chamber of Commerce,32 AKERLEY BL SUITE 100,DARTMOUTH NS B3B 1N1
332381,Non-Gaming Exempt (NGE),Murphy's On The Cable Wharf,1751 LOWER WATER ST,HALIFAX NS B3J 3E4
332382,Non-Gaming Exempt (NGE),Red Stag Tavern,SUITE 314 BREWERY MARKET,1496 LOWER WATER ST
332383,Non-Gaming Exempt (NGE),Chinatown Restaurant,381 BEDFORD HY,HALIFAX NS B3M 2L4
332387,Non-Gaming Exempt (NGE),Armour Transport,410 GATESWAY AV,SYDNEY NS B2A 4V1
332388,Non-Gaming Exempt (NGE),Andrew Doyle,84 KING ST,SYDNEY MINES NS B1V 1L8
332391,Non-Gaming Exempt (NGE),Boca Systems Inc.,1065 S. ROGERS CIRCLE,BOCA RATON FL 33487
332392,Non-Gaming Exempt (NGE),JB Ellis & Co. Ltd.,1230-1188 WEST GEORGE ST,VANCOUVER BC V6E 4A2
332394,Non-Gaming Exempt (NGE),Goodlife (Fitness),710 PROUDFOOT LN,LONDON ON N6H 5G5
332539,Non-Gaming Exempt (NGE),Adobe Systems Incorporated/Adobe Business Direct,345 PARK  AV,SAN JOSE CA 95110-2704
332597,Non-Gaming Exempt (NGE),Arachnia Designs,505 ST. PETER'S RD,SYDNEY NS B1P 4S2
332598,Non-Gaming Exempt (NGE),Fore Publications,258 SUMMER ST,HALIFAX NS B3K 2V6
332602,Non-Gaming Exempt (NGE),ATLIFIC Hotels for Cambridge Suites,380 ESPLANDADE,SYDNEY NS B1P 1B1
332603,Non-Gaming Exempt (NGE),Cape Breton Screaming Eagles,481 GEORGE  ST,SYDNEY NS B1P 6G9
332605,Non-Gaming Exempt (NGE),ADS Publishing,15 SECOND  DR,ST. CATHERINES ON L2N 1K9
332617,Non-Gaming Exempt (NGE),Candym Canfloyd,95 CLEGG RD,MARKHAM ON L6G 1B9
332619,Non-Gaming Exempt (NGE),Uline Shipping Supplies Specialist,3333 JAMES SNOW PARKWAY,NORTH MILTON ON L9T 8L1
332620,Non-Gaming Exempt (NGE),Konica Minolta Business Solutions,134 EILEEN STUBBS AV UNIT 104,DARTMOUTH NS B3B 0A9
332625,Non-Gaming Exempt (NGE),United Farmers Co Op,502 KELTIC DR,SYDNEY NS B1L 1B8
332629,Non-Gaming Exempt (NGE),Things Engraved,800 GRAND LAKE RD,SYDNEY NS B1P 7G4
332632,Non-Gaming Exempt (NGE),Basic Spirt Artwork,73 WATER ST,PUGWASH NS B0K 1L0
332635,Non-Gaming Exempt (NGE),Community Courier,741 BEDFORD HY,HALIFAX NS B3M 2M1
332639,Non-Gaming Exempt (NGE),VSR Industries Inc.,6190 MOUNTAIN VISTA ST,HENDERSON NV 89014
332641,Non-Gaming Exempt (NGE),Cape Bretion Transitation House Sydney,255 GEORGE  ST,SYDNEY NS B1P 1J7
332650,Non-Gaming Exempt (NGE),Fusion Print,28 CRANE LAKE DR,HALIFAX NS B3S 1B4
332652,Non-Gaming Exempt (NGE),Yellow Cab,2756 GLADSTONE ST,HALIFAX NS B3K 4W5
332655,Non-Gaming Exempt (NGE),NSCC,36 ARTHUR ST,TRURO NS B2N 1X5
332658,Non-Gaming Exempt (NGE),Bulk Barn,209 CHAIN LAKE  DR,HALIFAX NS B3S 1B4
332660,Non-Gaming Exempt (NGE),Turbo Images,1225 107E RUE,SAINT-GEORGES PQ G5Y 8C3
332664,Non-Gaming Exempt (NGE),Allns.com,PO BOX 2621,HALIFAX NS B3J 3P7
332709,Non-Gaming Exempt (NGE),Metro Guide Publishing,2882 GOTTINGEN  ST,HALIFAX NS B3K 3E2
